dataset,subject,session,freesurfer741ants243__Brainstem,freesurfer741ants243__Left-Accumbens-area,freesurfer741ants243__Left-Amygdala,freesurfer741ants243__Left-Caudate,freesurfer741ants243__Left-Hippocampus,freesurfer741ants243__Left-Pallidum,freesurfer741ants243__Left-Putamen,freesurfer741ants243__Left-Thalamus,freesurfer741ants243__Right-Accumbens-area,freesurfer741ants243__Right-Amygdala,freesurfer741ants243__Right-Caudate,freesurfer741ants243__Right-Hippocampus,freesurfer741ants243__Right-Pallidum,freesurfer741ants243__Right-Putamen,freesurfer741ants243__Right-Thalamus,freesurfer8001ants243__Brainstem,freesurfer8001ants243__Left-Accumbens-area,freesurfer8001ants243__Left-Amygdala,freesurfer8001ants243__Left-Caudate,freesurfer8001ants243__Left-Hippocampus,freesurfer8001ants243__Left-Pallidum,freesurfer8001ants243__Left-Putamen,freesurfer8001ants243__Left-Thalamus,freesurfer8001ants243__Right-Accumbens-area,freesurfer8001ants243__Right-Amygdala,freesurfer8001ants243__Right-Caudate,freesurfer8001ants243__Right-Hippocampus,freesurfer8001ants243__Right-Pallidum,freesurfer8001ants243__Right-Putamen,freesurfer8001ants243__Right-Thalamus,fslanat6071ants243__Brainstem,fslanat6071ants243__Left-Accumbens-area,fslanat6071ants243__Left-Amygdala,fslanat6071ants243__Left-Caudate,fslanat6071ants243__Left-Hippocampus,fslanat6071ants243__Left-Pallidum,fslanat6071ants243__Left-Putamen,fslanat6071ants243__Left-Thalamus,fslanat6071ants243__Right-Accumbens-area,fslanat6071ants243__Right-Amygdala,fslanat6071ants243__Right-Caudate,fslanat6071ants243__Right-Hippocampus,fslanat6071ants243__Right-Pallidum,fslanat6071ants243__Right-Putamen,fslanat6071ants243__Right-Thalamus,samseg8001ants243__Brainstem,samseg8001ants243__Left-Accumbens-area,samseg8001ants243__Left-Amygdala,samseg8001ants243__Left-Caudate,samseg8001ants243__Left-Hippocampus,samseg8001ants243__Left-Pallidum,samseg8001ants243__Left-Putamen,samseg8001ants243__Left-Thalamus,samseg8001ants243__Right-Accumbens-area,samseg8001ants243__Right-Amygdala,samseg8001ants243__Right-Caudate,samseg8001ants243__Right-Hippocampus,samseg8001ants243__Right-Pallidum,samseg8001ants243__Right-Putamen,samseg8001ants243__Right-Thalamus
FastSurfer,sub-001,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28690.945283,806.400036,1768.960079,4048.896181,4231.168189,1910.272085,5919.744265,9879.040442,745.472033,1648.128074,4155.904186,4489.728201,2019.32809,6080.512272,9841.66444,,,,,,,,,,,,,,,
FastSurfer,sub-002,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21570.991,578.999758,1075.999551,3165.998679,3533.998526,1629.99932,4553.9981,7276.996964,308.999871,1067.999554,3218.998657,3633.998484,1707.999287,4806.997994,6769.997175,,,,,,,,,,,,,,,
FastSurfer,sub-003,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23539.402797,585.84397,1638.510916,3863.894803,3744.530809,2057.656895,5572.377715,8530.409564,364.608981,1017.337948,4037.109794,3801.125806,1984.597899,5601.532714,8546.187563,,,,,,,,,,,,,,,
FastSurfer,sub-004,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24647.960333,821.998677,1664.99732,3967.993614,3854.993796,2080.996651,5663.990885,8363.98654,535.999137,1775.997142,4231.993189,4109.993386,2125.996579,5620.990954,8661.98606,,,,,,,,,,,,,,,
FastSurfer,sub-005,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20565.504919,468.480021,1454.080065,3165.696142,3528.704158,1531.904068,4551.168203,7762.432347,532.480024,1168.384052,2921.984131,3376.640151,1482.240066,4501.504201,7443.456333,,,,,,,,,,,,,,,
FastSurfer,sub-006,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25182.372713,528.219973,1365.13993,4522.454769,3887.904801,2006.892897,5374.809725,9102.876535,554.287972,1492.049924,4805.429754,4436.361773,1971.563899,5934.242697,8981.111541,,,,,,,,,,,,,,,
FastSurfer,sub-007,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23064.065031,543.744024,1169.920052,4539.904203,3885.056174,2048.000092,5521.408247,8529.408381,562.688025,1589.248071,4923.39222,3714.560166,1926.656086,5485.568245,8630.784386,,,,,,,,,,,,,,,
FastSurfer,sub-008,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23126.773818,521.359973,1446.773926,3320.92583,3646.432814,1759.58991,4448.023773,7961.715593,456.875977,1316.090933,3325.04183,3628.253815,1775.024909,4664.456762,7972.348593,,,,,,,,,,,,,,,
FastSurfer,sub-009,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22526.806641,334.863281,1467.333984,2917.529297,3104.736328,2052.685547,3791.601562,7258.886719,200.390625,929.443359,2483.789062,2515.429688,1992.041016,3505.517578,6150.146484,,,,,,,,,,,,,,,
FastSurfer,sub-010,ses-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26613.098348,887.003278,1461.005399,3964.014649,4135.015281,2036.007524,5551.020514,9194.033976,516.001907,1461.005399,4393.016234,4180.015447,1756.006489,5540.020473,8751.032339,,,,,,,,,,,,,,,
